hospital,patient_count,total_billing,average_billing,average_age,average_length_of_stay,hospital_rank
LLC Smith,44,1030189.8722479497,23413.4061874534,54.27272727272727,15.568181818181818,1
Ltd Smith,39,1003365.5277071942,25727.32122326139,56.256410256410255,16.512820512820515,2
Johnson PLC,37,1081477.311987757,29229.11654020965,45.810810810810814,16.135135135135137,3
Smith Ltd,37,970035.8657058084,26217.185559616442,53.32432432432432,15.135135135135135,3
Smith Group,36,806631.2907331104,22406.4247425864,47.75,17.0,4
Smith PLC,36,1029424.449116314,28595.123586564278,42.25,17.63888888888889,4
Johnson Inc,34,934310.7280587761,27479.727295846358,50.11764705882353,14.529411764705882,5
Smith Inc,33,772256.4955707154,23401.711986991377,52.72727272727273,15.393939393939394,6
Group Smith,32,902975.7874592737,28217.993358102303,47.625,16.3125,7
Smith LLC,32,731683.6460605128,22865.113939391023,51.875,16.09375,7
LLC Johnson,30,816438.3536878256,27214.611789594186,48.86666666666667,17.033333333333335,8
PLC Williams,30,731847.9637775752,24394.93212591917,50.733333333333334,16.133333333333333,8
PLC Smith,29,693760.3574496494,23922.770946539633,54.689655172413794,13.551724137931034,9
Brown Inc,28,790322.5731662991,28225.806184510682,48.67857142857143,12.75,10
Inc Brown,27,877961.3147981077,32517.085733263248,49.629629629629626,13.555555555555555,11
Inc Smith,27,770747.9334182317,28546.219756230803,57.77777777777778,14.037037037037036,11
Johnson Group,27,734430.5492076017,27201.131452133395,50.77777777777778,16.333333333333332,11
Group Johnson,26,722079.9216538734,27772.30467899513,50.15384615384615,17.576923076923077,12
Inc Johnson,26,587331.7681231427,22589.68338935164,50.23076923076923,17.46153846153846,12
Inc Jones,25,804936.4420171926,32197.457680687705,47.6,15.0,13
Williams LLC,25,710196.1775018991,28407.847100075964,48.84,13.88,13
Brown LLC,24,569869.3134594128,23744.554727475534,54.833333333333336,16.25,14
Inc Williams,23,716737.4657689084,31162.49851169167,50.78260869565217,19.043478260869566,15
Johnson LLC,23,622942.5382503758,27084.458184798947,58.26086956521739,13.478260869565217,15
LLC Williams,23,674293.4860185225,29317.108087761848,51.608695652173914,16.17391304347826,15
Brown PLC,22,611622.6047754397,27801.027489792716,51.81818181818182,21.136363636363637,16
Group Brown,22,506359.20810304425,23016.327641047465,56.45454545454545,14.136363636363637,16
Jones LLC,22,553630.3891305395,25165.017687751795,55.86363636363637,16.181818181818183,16
Miller Inc,22,693787.7316709736,31535.805985044255,50.90909090909091,15.227272727272727,16
Williams Group,22,637717.4664807393,28987.15756730633,51.90909090909091,15.954545454545455,16
Brown Group,21,528988.4307106431,25189.925271935383,47.857142857142854,13.380952380952381,17
Johnson Ltd,21,729445.3746131796,34735.49402919903,49.95238095238095,15.285714285714286,17
Jones Ltd,21,544102.6291808564,25909.64900861221,48.857142857142854,17.428571428571427,17
Ltd Brown,21,592984.12090872,28237.339090891426,61.95238095238095,16.238095238095237,17
Ltd Johnson,21,515747.70093494415,24559.414330235435,55.476190476190474,15.904761904761905,17
Group Davis,20,553317.2304474053,27665.86152237026,54.65,14.45,18
Inc Jackson,20,500016.6199356652,25000.83099678326,51.4,13.15,18
Jones Group,20,561445.834722519,28072.291736125953,48.2,15.1,18
Brown Ltd,19,460110.0004572121,24216.31581353748,57.8421052631579,15.473684210526315,19
Group Jones,19,399360.8679322135,21018.99304906387,50.89473684210526,17.473684210526315,19
Inc Rodriguez,19,558598.9665811744,29399.945609535494,44.89473684210526,16.36842105263158,19
LLC Garcia,19,480997.1376763318,25315.638825070095,55.0,13.210526315789474,19
Miller PLC,19,448844.910289065,23623.41633100342,50.68421052631579,17.05263157894737,19
Williams Inc,19,510634.2913033524,26875.489015965915,59.21052631578947,11.578947368421053,19
Williams Ltd,19,558464.2962604366,29392.85769791772,42.526315789473685,14.631578947368421,19
Williams PLC,19,525107.1285962029,27637.217294536997,45.1578947368421,14.736842105263158,19
Inc Miller,18,382147.8805488027,21230.43780826682,57.888888888888886,13.88888888888889,20
LLC Brown,18,450130.9162619376,25007.2731256632,54.27777777777778,15.944444444444445,20
Ltd Jones,18,559104.7558746708,31061.375326370602,50.44444444444444,13.666666666666666,20
Ltd Williams,18,372621.53741619765,20701.196523122093,47.666666666666664,11.666666666666666,20
Miller Ltd,18,457909.89145383507,25439.438414101947,59.611111111111114,14.944444444444445,20
Moore LLC,18,431483.7633964606,23971.320188692258,42.27777777777778,17.61111111111111,20
PLC Brown,18,480437.9790520322,26690.99883622401,44.666666666666664,14.833333333333334,20
PLC Rodriguez,18,558175.6977841941,31009.760988010785,50.833333333333336,15.0,20
Wilson Group,18,432120.1218881645,24006.67343823136,43.72222222222222,14.38888888888889,20
Anderson PLC,17,332223.6650174602,19542.568530438835,48.88235294117647,13.235294117647058,21
Group Williams,17,370415.8711476688,21789.168891039342,52.705882352941174,17.529411764705884,21
Jones Inc,17,472898.7586554456,27817.574038555624,47.294117647058826,17.941176470588236,21
LLC Jones,17,435557.8995748282,25621.052916166365,50.294117647058826,15.941176470588236,21
PLC Davis,17,308914.2525361336,18171.426619772563,44.35294117647059,15.294117647058824,21
Wilson PLC,17,400999.58757410676,23588.211033770986,51.35294117647059,14.647058823529411,21
Davis PLC,16,388253.86528608814,24265.86658038051,47.0,18.4375,22
Garcia Group,16,452471.17336495174,28279.448335309484,47.75,13.5625,22
Martin Inc,16,446391.4593693244,27899.466210582774,47.3125,13.625,22
Miller LLC,16,461446.6752338053,28840.417202112832,55.875,17.625,22
PLC Johnson,16,437393.4884533833,27337.093028336458,49.0,21.0,22
PLC Jones,16,325170.22413368564,20323.139008355352,39.375,13.875,22
White Inc,16,442265.98420348397,27641.624012717748,51.75,15.0,22
Anderson Group,15,283889.459771176,18925.963984745067,56.733333333333334,18.8,23
Davis Group,15,419919.0559260848,27994.603728405655,45.0,16.866666666666667,23
Davis Inc,15,419655.3615700512,27977.02410467008,54.666666666666664,13.333333333333334,23
Group Garcia,15,391213.72991489834,26080.915327659888,49.86666666666667,14.8,23
Hill Inc,15,294358.3909503692,19623.89273002461,53.0,18.533333333333335,23
Inc Taylor,15,362343.3932342243,24156.22621561495,44.53333333333333,12.0,23
Lopez PLC,15,446579.7825052821,29771.98550035214,60.333333333333336,19.133333333333333,23
Ltd Miller,15,446874.53056525113,29791.635371016742,52.93333333333333,11.866666666666667,23
PLC Thomas,15,359438.227002304,23962.548466820266,50.93333333333333,10.733333333333333,23
Ramirez Group,15,478871.9058400254,31924.79372266836,66.33333333333333,10.133333333333333,23
Rodriguez Ltd,15,350928.6839011501,23395.245593410007,42.8,16.4,23
Taylor Ltd,15,342897.511193138,22859.834079542536,54.2,18.8,23
Thomas LLC,15,381924.9625794261,25461.66417196174,39.333333333333336,18.066666666666666,23
Davis Ltd,14,241604.8284805031,17257.487748607364,58.214285714285715,15.357142857142858,24
Green PLC,14,404319.08698158734,28879.934784399094,52.5,16.142857142857142,24
Group Miller,14,463930.7017643389,33137.90726888135,46.642857142857146,17.071428571428573,24
Hernandez Ltd,14,416027.2218218452,29716.2301301318,55.42857142857143,19.857142857142858,24
Inc Gonzalez,14,313465.690058795,22390.40643277107,47.285714285714285,15.571428571428571,24
Inc Hernandez,14,353855.772470669,25275.4123193335,44.214285714285715,18.357142857142858,24
Inc Nelson,14,307673.0213045471,21976.64437889622,43.5,18.071428571428573,24
Jones PLC,14,318155.89562571683,22725.42111612263,47.857142857142854,19.785714285714285,24
LLC Davis,14,392923.32852816227,28065.952037725878,46.785714285714285,16.214285714285715,24
Ltd Hernandez,14,350805.69618419383,25057.549727442416,53.142857142857146,13.071428571428571,24
Martinez Inc,14,338781.98437702254,24198.713169787323,51.5,14.285714285714286,24
Miller Group,14,378295.798393042,27021.128456645856,46.0,16.142857142857142,24
PLC Miller,14,387936.96948297776,27709.783534498412,61.42857142857143,20.642857142857142,24
PLC Thompson,14,381343.44463075354,27238.81747362525,49.92857142857143,18.428571428571427,24
Rodriguez Inc,14,397927.0376145945,28423.35982961389,63.07142857142857,22.642857142857142,24
and Sons Williams,14,325374.70711171045,23241.05050797932,49.142857142857146,17.5,24
Anderson Inc,13,280710.71118981845,21593.131629986034,59.30769230769231,16.76923076923077,25
Anderson LLC,13,257913.76622599812,19839.520478922932,42.84615384615385,11.538461538461538,25
Carter Inc,13,284623.26645696315,21894.097419766396,44.23076923076923,16.846153846153847,25
Clark PLC,13,377491.71588127123,29037.824298559324,54.76923076923077,16.0,25
Group Hernandez,13,301812.77943700977,23216.367649000753,37.0,15.923076923076923,25
Inc Davis,13,281790.1380364662,21676.164464343554,57.07692307692308,14.384615384615385,25
Inc Harris,13,313370.1709153983,24105.397762722943,44.07692307692308,14.461538461538462,25
Inc Lee,13,197283.9809845568,15175.690844965908,45.61538461538461,17.53846153846154,25
Inc Lopez,13,269191.8474546762,20707.065188821245,47.53846153846154,20.23076923076923,25
Johnson Sons and,13,354191.2935607449,27245.4841200573,54.23076923076923,19.23076923076923,25
LLC Clark,13,416824.1359262611,32063.395071250852,50.76923076923077,14.384615384615385,25
LLC Moore,13,326146.15657695173,25088.16589053475,50.69230769230769,20.076923076923077,25
LLC Rodriguez,13,309749.88444001356,23826.91418769335,59.15384615384615,15.307692307692308,25
Moore Inc,13,362301.9136516576,27869.377973204428,50.61538461538461,14.307692307692308,25
PLC Lewis,13,294395.4572125755,22645.804400967343,43.23076923076923,19.846153846153847,25
Rodriguez PLC,13,259177.96094363378,19936.766226433367,50.69230769230769,11.76923076923077,25
Sons Williams and,13,288559.7740709066,22196.90569776205,55.30769230769231,15.384615384615385,25
Sons and Brown,13,372877.8576700688,28682.91212846683,59.0,17.307692307692307,25
Sons and Johnson,13,319830.1626873527,24602.320206719436,53.76923076923077,15.307692307692308,25
Thomas and Sons,13,294009.2993391133,22616.099949162563,46.69230769230769,16.923076923076923,25
Wilson LLC,13,377386.4226728428,29029.724820987907,51.53846153846154,16.46153846153846,25
and Sons Smith,13,295411.77467869665,22723.98266759205,51.07692307692308,17.615384615384617,25
Campbell LLC,12,247012.24486084067,20584.353738403388,61.5,15.166666666666666,26
Clark LLC,12,269053.0688773729,22421.089073114406,62.583333333333336,10.083333333333334,26
