order_id,customer_id,order_date,status
1,98,2025-09-27,Completed
2,338,2024-11-14,Cancelled
3,217,2025-08-04,Cancelled
4,443,2025-11-28,Completed
5,335,2026-06-27,Completed
6,207,2024-10-08,Completed
7,128,2024-11-26,Completed
8,275,2025-02-17,Cancelled
9,217,2024-12-28,Completed
10,237,2025-05-19,Completed
11,227,2024-10-23,Returned
12,26,2024-11-15,Returned
13,497,2024-08-22,Completed
14,86,2025-04-06,Cancelled
15,247,2025-12-17,Completed
16,463,2025-09-21,Completed
17,195,2025-01-22,Completed
18,136,2025-09-10,Cancelled
19,217,2025-05-26,Returned
20,368,2026-06-15,Cancelled
21,9999,2025-01-12,Completed
22,496,2025-03-17,Completed
23,377,2026-03-23,Returned
24,383,2024-10-08,Completed
25,26,2024-10-04,Returned
26,258,2025-12-08,Returned
27,30,2025-01-15,Returned
28,436,2024-10-28,Completed
29,305,2024-10-16,Completed
30,442,2026-06-29,Completed
31,62,2025-09-24,Returned
32,297,2025-04-16,Returned
33,318,2024-09-16,Completed
34,337,2025-10-10,Returned
35,268,2026-03-08,Completed
36,105,2025-05-01,Completed
37,136,2025-04-08,Cancelled
38,344,2024-12-19,Completed
39,162,2025-11-18,Completed
40,235,2024-08-16,Returned
41,52,2026-03-06,Completed
42,110,2026-02-08,Returned
43,68,2025-05-05,Completed
44,451,2024-10-16,Completed
45,146,2025-08-20,Completed
46,427,2025-10-29,Returned
47,155,2026-07-28,Returned
48,271,2026-06-07,Completed
49,419,2026-06-21,Returned
50,478,2025-06-09,Completed
51,136,2024-12-22,Completed
52,381,2024-11-24,Returned
53,140,2025-01-13,Completed
54,108,2026-04-18,Completed
55,352,2025-03-03,Completed
56,251,2026-01-06,Completed
57,48,2024-09-28,Cancelled
58,23,2025-05-17,Completed
59,395,2025-07-14,Completed
60,135,2026-05-21,Completed
61,283,2025-11-02,Cancelled
62,5,2026-03-04,Completed
63,484,2024-10-23,Completed
64,19,2026-02-16,Completed
65,283,2026-03-26,Completed
66,66,2025-10-21,Completed
67,187,2025-06-18,Completed
68,108,2025-08-08,Completed
69,53,2026-06-20,Completed
70,453,2026-03-03,Cancelled
71,384,2026-05-04,Completed
72,443,2025-04-06,Completed
73,452,2025-02-04,Cancelled
74,92,2024-09-01,Completed
75,411,2025-10-02,Completed
76,82,2025-05-07,Completed
77,447,2025-09-02,Completed
78,114,2025-12-01,Completed
79,180,2025-11-21,Completed
80,115,2025-03-28,Completed
81,99,2026-06-13,Cancelled
82,143,2025-07-09,Completed
83,180,2025-05-19,Returned
84,348,2025-09-20,Returned
85,481,2025-07-12,Completed
86,450,2024-12-03,Completed
87,298,2025-02-05,Completed
88,56,2024-09-15,Returned
89,177,2025-10-25,Completed
90,311,2025-10-27,Returned
91,198,2024-12-03,Returned
92,131,2025-02-17,Completed
93,224,2026-08-02,Completed
94,474,2026-01-21,Returned
95,369,2026-07-11,Completed
96,221,2025-08-14,Completed
97,472,2026-06-18,Completed
98,161,2026-05-07,Completed
99,260,2025-06-10,Completed
100,210,2026-06-20,Completed
101,357,2025-09-23,Completed
102,66,2026-02-25,Completed
103,341,2025-10-11,Cancelled
104,384,2026-07-01,Completed
105,292,2026-04-29,Completed
106,281,2025-09-26,Completed
107,147,2025-06-14,Completed
108,403,2025-10-21,Returned
109,336,2026-04-20,Completed
110,227,2025-11-26,Cancelled
111,110,2026-06-29,Returned
112,407,2025-12-04,Completed
113,44,2026-06-12,Completed
114,340,2026-01-16,Returned
115,48,2025-07-16,Completed
116,159,2026-06-26,Completed
117,76,2025-02-26,Completed
118,126,2024-09-23,Cancelled
119,436,2026-04-24,Completed
120,213,2025-11-16,Returned
121,368,2025-02-22,Cancelled
122,205,2025-12-26,Completed
123,336,2025-01-05,Completed
124,399,2024-11-24,Cancelled
125,91,2025-03-19,Returned
126,26,2025-11-25,Returned
127,470,2025-04-19,Completed
128,69,2025-11-17,Cancelled
129,272,2026-06-21,Returned
130,163,2026-04-08,Cancelled
131,418,2026-04-26,Returned
132,426,2025-10-17,Returned
133,460,2025-11-06,Completed
134,231,2025-12-06,Completed
135,431,2025-04-17,Completed
136,249,2026-01-22,Completed
137,226,2025-05-15,Completed
138,121,2025-05-26,Completed
139,164,2025-07-16,Returned
140,71,2024-10-28,Completed
141,197,2025-03-31,Completed
142,110,2026-07-31,Completed
143,209,2025-10-05,Completed
144,239,2026-02-13,Cancelled
145,106,2024-10-09,Cancelled
146,464,2025-09-09,Returned
147,11,2026-07-20,Returned
148,245,2025-08-31,Completed
149,153,2025-08-02,Cancelled
150,276,2025-10-10,Returned
151,460,2026-04-16,Completed
152,113,2025-12-19,Completed
153,249,2025-10-27,Completed
154,173,2025-09-09,Cancelled
155,431,2025-01-23,Cancelled
156,319,2024-12-15,Returned
157,465,2024-09-03,Cancelled
158,289,2026-04-05,Completed
159,330,2024-10-31,Cancelled
160,444,2024-12-23,Cancelled
161,26,2025-02-09,Completed
162,168,2025-08-30,Completed
163,168,2025-11-15,Completed
164,143,2025-08-30,Cancelled
165,428,2025-04-22,Completed
166,10,2025-12-01,Returned
167,488,2024-09-29,Completed
168,333,2025-03-24,Completed
169,21,2026-06-05,Completed
170,103,2025-04-17,Completed
171,79,2026-05-05,Completed
172,243,2024-12-14,Completed
173,486,2026-03-07,Completed
174,359,2025-11-26,Completed
175,86,2025-08-19,Returned
176,494,2026-04-20,Completed
177,494,2025-01-21,Completed
178,297,2024-11-25,Completed
179,295,2025-06-22,Cancelled
180,483,2025-09-17,Completed
181,304,2024-10-23,Completed
182,357,2024-11-19,Completed
183,308,2026-07-08,Completed
184,401,2026-03-09,Completed
185,273,2025-07-28,Cancelled
186,190,2026-06-15,Completed
187,332,2026-01-07,Completed
188,435,2024-08-19,Cancelled
189,55,2025-12-21,Cancelled
190,326,2025-08-12,Cancelled
191,79,2026-08-01,Cancelled
192,376,2025-02-03,Returned
193,139,2026-06-04,Returned
194,397,2026-02-09,Cancelled
195,224,2025-11-26,Returned
196,166,2025-05-08,Completed
197,143,2024-11-03,Cancelled
198,385,2025-04-13,Cancelled
199,313,2026-03-13,Cancelled
200,15,2025-07-17,Cancelled
201,94,2025-07-05,Cancelled
202,182,2025-03-12,Completed
203,144,2025-07-21,Returned
204,451,2026-07-26,Completed
205,6,2026-02-27,Returned
206,44,2025-02-18,Completed
207,251,2025-09-27,Returned
208,354,2025-04-10,Cancelled
209,365,2026-05-30,Cancelled
210,406,2025-11-08,Completed
211,151,2024-11-10,Completed
212,355,2025-09-25,Completed
213,340,2025-06-16,Returned
214,243,2025-08-19,Returned
215,177,2026-02-01,Cancelled
216,170,2026-02-21,Completed
217,233,2026-07-27,Completed
218,129,2025-06-16,Completed
219,370,2024-12-08,Completed
220,62,2025-06-26,Returned
221,95,2026-07-14,Completed
222,379,2025-03-16,Cancelled
223,371,2025-05-17,Returned
224,306,2026-01-26,Completed
225,427,2024-11-17,Completed
226,117,2025-06-06,Completed
227,155,2025-02-06,Completed
228,274,2026-08-02,Completed
229,24,2025-05-14,Completed
230,150,2026-02-24,Completed
231,445,2026-05-22,Cancelled
232,447,2024-11-20,Completed
233,146,2026-03-17,Cancelled
234,226,2025-12-10,Completed
235,495,2025-02-11,Completed
236,482,2025-04-22,Cancelled
237,421,2024-12-01,Completed
238,252,2025-09-21,Completed
239,323,2026-03-20,Completed
240,77,2025-01-09,Returned
241,44,2025-06-14,Completed
242,286,2024-12-06,Cancelled
243,306,2026-04-19,Returned
244,398,2025-03-26,Returned
245,231,2025-08-31,Cancelled
246,441,2025-06-07,Returned
247,157,2025-10-20,Returned
248,31,2026-05-04,Returned
249,486,2024-11-16,Completed
250,109,2026-05-09,Completed
251,42,2026-06-14,Completed
252,89,2025-04-09,Returned
253,81,2024-10-22,Completed
254,231,2025-09-29,Returned
255,150,2025-12-01,Completed
256,148,2025-04-01,Completed
257,441,2026-07-27,Cancelled
258,352,2024-10-18,Completed
259,404,2025-05-04,Returned
260,412,2026-06-15,Completed
261,59,2025-10-16,Returned
262,332,2025-03-25,Completed
263,424,2025-05-06,Completed
264,31,2024-10-19,Completed
265,305,2025-06-17,Returned
266,225,2025-05-29,Completed
267,353,2025-11-29,Completed
268,207,2026-07-24,Completed
269,277,2026-01-01,Cancelled
270,42,2025-10-29,Returned
271,456,2024-09-16,Cancelled
272,310,2025-07-03,Completed
273,47,2024-09-02,Completed
274,429,2026-06-28,Returned
275,487,2026-03-31,Completed
276,421,2026-06-26,Completed
277,21,2026-03-20,Completed
278,266,2025-12-01,Cancelled
279,93,2025-05-18,Returned
280,326,2025-10-27,Cancelled
281,241,2024-11-08,Completed
282,171,2025-09-29,Completed
283,54,2026-06-24,Completed
284,211,2025-07-10,Cancelled
285,340,2025-05-29,Cancelled
286,19,2026-02-21,Cancelled
287,162,2024-11-05,Completed
288,60,2025-07-04,Cancelled
289,423,2026-01-15,Completed
290,446,2026-06-11,Returned
291,212,2025-11-23,Completed
292,266,2025-02-15,Completed
293,388,2026-05-06,Cancelled
294,227,2026-05-09,Completed
295,137,2025-03-03,Returned
296,475,2024-12-19,Completed
297,451,2025-10-29,Cancelled
298,15,2024-12-09,Returned
299,364,2025-04-09,Completed
300,283,2025-06-21,Completed
301,209,2026-02-23,Completed
302,431,2025-03-25,Completed
303,485,2025-11-22,Completed
304,427,2026-06-01,Completed
305,478,2025-12-30,Completed
306,362,2026-01-10,Completed
307,428,2025-10-06,Cancelled
308,125,2025-12-03,Cancelled
309,75,2026-02-22,Cancelled
310,472,2025-02-18,Returned
311,383,2026-01-09,Completed
312,142,2024-10-17,Cancelled
313,479,2025-07-21,Returned
314,421,2025-05-07,Completed
315,372,2025-05-23,Completed
316,297,2026-03-31,Cancelled
317,229,2025-01-06,Returned
318,177,2025-12-15,Completed
319,391,2026-02-23,Returned
320,234,2025-08-28,Completed
321,358,2025-02-16,Completed
322,197,2026-03-15,Completed
323,23,2025-10-01,Completed
324,362,2025-12-04,Cancelled
325,340,2025-09-06,Completed
326,494,2025-12-27,Completed
327,258,2024-12-14,Returned
328,446,2025-07-12,Completed
329,52,2025-10-31,Returned
330,8,2025-11-17,Completed
331,446,2025-09-30,Completed
332,241,2024-10-22,Completed
333,320,2025-07-19,Cancelled
334,42,2026-06-03,Completed
335,440,2026-06-28,Returned
336,489,2025-08-31,Completed
337,368,2026-05-10,Cancelled
338,19,2026-02-12,Returned
339,121,2024-10-16,Completed
340,383,2025-03-27,Completed
341,51,2025-10-25,Completed
342,86,2025-11-04,Completed
343,24,2024-09-05,Completed
344,151,2024-10-03,Completed
345,221,2025-08-25,Completed
346,272,2025-04-14,Cancelled
347,350,2026-03-09,Completed
348,90,2025-01-28,Completed
349,446,2026-04-23,Cancelled
350,350,2026-05-03,Completed
351,468,2025-12-29,Returned
352,119,2024-12-31,Cancelled
353,131,2026-05-22,Cancelled
354,342,2025-04-25,Completed
355,462,2025-11-26,Completed
356,280,2026-07-01,Completed
357,227,2024-10-21,Completed
358,154,2026-03-31,Cancelled
359,129,2026-07-14,Cancelled
360,102,2025-06-12,Cancelled
361,55,2025-12-14,Completed
362,293,2025-09-01,Completed
363,152,2026-03-18,Completed
364,425,2024-08-29,Cancelled
365,5,2025-05-15,Returned
366,399,2026-07-10,Completed
367,382,2026-04-19,Cancelled
368,398,2025-05-27,Completed
369,411,2026-04-20,Completed
370,326,2025-03-19,Completed
371,129,2026-05-04,Completed
372,50,2026-05-12,Completed
373,404,2025-06-19,Cancelled
374,297,2024-09-10,Completed
375,47,2024-12-19,Completed
376,383,2025-07-07,Cancelled
377,103,2025-02-02,Completed
378,449,2026-02-10,Completed
379,257,2026-02-01,Completed
380,132,2025-01-22,Cancelled
381,383,2025-06-05,Completed
382,240,2024-12-02,Completed
383,387,2024-12-29,Completed
384,371,2026-06-30,Cancelled
385,188,2026-02-28,Completed
386,8,2025-09-15,Completed
387,64,2026-02-07,Cancelled
388,345,2025-08-19,Completed
389,196,2026-03-28,Completed
390,346,2024-11-25,Completed
391,13,2025-12-02,Returned
392,168,2026-03-04,Returned
393,332,2025-03-21,Completed
394,422,2026-05-19,Cancelled
395,155,2026-07-25,Cancelled
396,72,2024-12-04,Completed
397,156,2024-09-14,Cancelled
